ARVAMUS,http://arvamus.postimees.ee/1001520/anvar-samost-tahan-politseile-kindel-olla/,1,negatiivne,"Enam kui kymme aastat tagasi tegutses huumorisaates «Wremja» inspektor Kukeke, kes kogu aeg vingus vaikese palga parast ja vaatas, mida saaks too juurest koju tassida. Stsenaristid Andrus Kivirahk ja Mart Juur olid Kukekese isikusse kokku valanud koik, mis 1990. aastate Eesti politseinikke halvast kyljest iseloomustas."
ARVAMUS,http://arvamus.postimees.ee/1001520/anvar-samost-tahan-politseile-kindel-olla/,2,vastuoluline,"Neid ridu kirjutades tundub isegi ebaviisakas seda karikatuurset kuju meenutada. Juba saate eetrisse mineku ajal oli tegemist vaatega ajalukku. Politsei on vabanenud yleminekuajal parema puudumisel palgatud juhuseotsijatest. Samuti joudis yhena esimestest politseijuhtideni arusaamine, et avalik kaeblemine palkade yle ei tule yhelegi organisatsioonile kasuks – kannatab maine ja raha juurde ei tule."
ARVAMUS,http://arvamus.postimees.ee/1001520/anvar-samost-tahan-politseile-kindel-olla/,3,positiivne,"Isiklikult kohtasin natukegi Kukekese moodi politseinikku viimati kaheksa aasta eest Latis. Eranditult koik viimase kymnendi kokkupuuted politseiametnikega on kinnitanud: vaatamata raskustele on Eesti riik suutnud korrakaitsjateks varvata inimesi, kes on arukad, kohusetundlikud, lugupidamist sisendavas fyysilises vormis ja hea valjendusoskusega."
ARVAMUS,http://arvamus.postimees.ee/1001520/anvar-samost-tahan-politseile-kindel-olla/,4,vastuoluline,"Olen nainud ka, kuidas patrull korrarikkujat taltsutab, ning suur osa sellest seisnes enesekindlas olekus ning vastuvaidlemist valistavalt, kuid rahulikult antud korraldustes. Aprillirahutuste ajal veendusime, et Eesti politsei suudab kaituda ryndajatega vaga karmilt. Vaevalt et mitmeks tunniks naoli porisele asfaldile pandud maratsejat lohutas, et kohus hiljem teda riigijuhtide lubatud viisil aastateks vangi ei pannud."
ARVAMUS,http://arvamus.postimees.ee/1001520/anvar-samost-tahan-politseile-kindel-olla/,5,negatiivne,"Kummaline on nyyd akki lugeda politsei ja siseministeeriumi ametnike kurtmist kohtu poolt politseinike ryndajatele (lihtsalt oeldes – peksjatele) maaratud karistuste yle. Tsiteerin ERRile intervjuu andnud politseinikku: «See ei ole normaalne, et sellised jomikad tulevad, tymitavad ja nii ongi noh. Mingi tagajarg peab saabuma neile, [kes politseiametniku vastu katt tostavad].»"
ARVAMUS,http://arvamus.postimees.ee/1001520/anvar-samost-tahan-politseile-kindel-olla/,6,negatiivne,"Kysimus pole mitte leebetes karistustes, vaid selles, et purjus ja relvadeta kraaklejad laksid taisvarustuses patrullpolitseinikele kallale ja said neist holpsalt jagu. Politseiametnikule on riik andnud oiguse vajadusel vagivalda kasutada. Praegu kuuleme aga hoopis politseinike kaastunnet aratavaid kirjeldusi, kuidas neid rusikate ja jalgadega peksti, kuidas kumminui ara voeti, kuidas kagistati ja taga aeti."
ARVAMUS,http://arvamus.postimees.ee/1001520/anvar-samost-tahan-politseile-kindel-olla/,7,negatiivne,"Ajakirjanikuna ei saa ma politseile soovitada peksasaamise mahavaikimist, aga maksumaksja ja kodanikuna on tunne, et vahemalt piinlikud eneseoigustused oleksid voinud ara jaada."
ARVAMUS,http://arvamus.postimees.ee/1001524/jarmo-makela-miks-venemaa-soomet-kiusab/,1,negatiivne,"Eelmise aasta detsembris avaldas Venemaa valisministeerium oma esimese inimoiguste raporti. Selles pole juttu Venemaa territooriumil elavate kodanike inimoigustest ega nende rikkumisest – sellist raportit Venemaa ametnikelt niipea ei tule. Jutuks on rikkumised, mis on ametnike arvates saanud osaks Venemaa kodanikele valismaal."
ARVAMUS,http://arvamus.postimees.ee/1001524/jarmo-makela-miks-venemaa-soomet-kiusab/,2,negatiivne,"Patuste nimekirja tipus on USA, kellele adresseeritud syydistusi leiame raportist 17 lehekylje jagu, teiseks tulid Balti riigid 16 lehekyljega ning kolmanda koha palvis vaike Gruusia kymne lehekyljega."
ARVAMUS,http://arvamus.postimees.ee/1001524/jarmo-makela-miks-venemaa-soomet-kiusab/,3,negatiivne,"Soome vastu suunatud syydistused on kirja pandud viiel lehel. See nimekiri on piisavalt pikk naitamaks, et sinisilmsed on need, kes endiselt arvavad, et Soomel on Venemaa silmis «hea naabrina» mingisugune eriline positsioon. Koik Soome syydistused puudutasid perekonnaoigust."
